Geneid	S1	S2	S3	S4	S5	S6	S7	S8
ENSG00000223989.1	0	0	0	0	0	0	0	0
ENSG00000285701.1	0	0	2	7	0	5	7	5
ENSG00000162441.12	519	348	1472	743	280	289	1019	990
ENSG00000228150.1	23	21	39	20	0	23	22	12
ENSG00000173614.14	100	86	180	103	65	85	138	153
ENSG00000202415.1	7	2	6	4	0	0	3	6
ENSG00000283611.2	0	0	0	4	0	0	0	0
ENSG00000265521.1	0	0	0	1	0	0	0	0
ENSG00000241326.1	0	0	0	0	0	0	0	0
ENSG00000162444.12	0	0	1	0	0	0	0	0
ENSG00000130939.20	525	441	732	403	251	271	601	532
ENSG00000224340.1	1	0	0	0	1	7	1	2
ENSG00000233623.2	0	0	1	1	0	0	0	0
ENSG00000201746.1	0	0	2	0	0	0	0	0
ENSG00000054523.20	656	779	1416	698	452	493	843	794
ENSG00000264881.1	0	0	0	0	0	0	0	0
ENSG00000199562.1	0	0	3	2	0	0	0	0
ENSG00000264501.2	0	0	0	0	0	0	0	0
ENSG00000284735.1	5	0	10	2	0	0	0	0
ENSG00000284642.1	0	0	7	11	0	0	6	11
ENSG00000142657.21	2662	2649	3965	2202	998	1263	3425	3131
ENSG00000271989.1	4	0	7	0	0	0	0	1
ENSG00000251503.8	0	0	0	2	0	0	0	0
ENSG00000175279.22	18	11	111	86	0	0	93	87
ENSG00000241563.4	0	0	3	0	3	0	0	0
ENSG00000160049.12	341	290	1272	676	240	325	1025	855
ENSG00000203469.2	0	0	0	0	0	0	0	0
ENSG00000142655.13	83	108	152	111	12	21	131	99
ENSG00000287727.1	0	0	0	0	0	0	0	0
ENSG00000243267.3	0	0	0	1	1	0	0	1
ENSG00000130940.15	4	5	11	10	4	5	11	12
ENSG00000272078.1	4	3	4	11	0	0	2	1
ENSG00000225158.2	0	0	0	0	0	0	0	0
ENSG00000175262.14	0	0	9	5	0	0	3	0
ENSG00000215785.2	0	0	0	0	7	0	0	0
ENSG00000120948.19	864	965	2478	1490	146	151	1792	1495
ENSG00000009724.17	7	0	17	3	0	0	4	0
ENSG00000116649.10	646	525	2839	2295	727	827	2435	2077
ENSG00000171824.14	439	483	1023	585	181	137	619	585
ENSG00000226849.1	0	0	9	0	0	0	1	5
ENSG00000230337.2	4	15	3	7	5	5	19	22
ENSG00000198793.13	120	189	596	285	107	147	379	331
ENSG00000225602.5	0	0	1	1	0	0	1	0
ENSG00000253086.1	0	0	0	0	0	0	0	0
ENSG00000171819.5	7	0	10	3	0	0	0	0
ENSG00000207451.1	0	0	1	0	0	0	0	0
ENSG00000238173.1	6	0	5	1	1	1	5	18
ENSG00000120942.14	47	22	334	146	6	17	186	207
ENSG00000238199.1	0	0	0	0	0	0	1	1
ENSG00000284646.1	0	0	0	2	0	0	0	0
ENSG00000224338.2	2	4	1	0	0	0	0	0
ENSG00000204624.8	15	30	9	3	0	0	0	1
ENSG00000285833.1	0	0	0	0	0	0	0	0
ENSG00000235643.2	21	3	5	3	6	6	8	0
ENSG00000284708.1	1	16	4	3	7	13	2	8
ENSG00000116661.11	3	5	9	1	0	0	0	0
ENSG00000132879.14	78	79	91	44	37	65	201	181
ENSG00000116663.11	21	23	17	12	101	119	240	247
ENSG00000116670.15	2143	1834	1860	1044	1105	1300	1799	1833
ENSG00000162490.7	165	102	64	17	42	52	30	50
ENSG00000177674.16	263	234	439	279	147	234	341	321
ENSG00000215910.8	15	5	1	11	0	0	4	0
ENSG00000177553.6	0	0	0	0	0	0	0	0
ENSG00000177000.13	204	142	118	64	73	89	92	101
ENSG00000011021.23	66	59	128	61	15	15	83	97
ENSG00000276470.1	0	0	0	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0	0	0	0
ENSG00000175206.11	0	0	2	0	0	0	0	0
ENSG00000275915.1	0	0	0	0	0	0	0	0
ENSG00000120937.9	0	0	0	0	0	0	0	0
ENSG00000224904.1	0	8	0	1	0	0	0	0
ENSG00000285646.2	109	90	114	105	70	26	164	165
ENSG00000199347.1	0	0	0	0	0	0	0	0
ENSG00000201801.1	18	12	63	76	27	57	64	97
ENSG00000116685.16	215	218	398	253	65	113	174	176
