baseMean log2FoldChange lfcSE pvalue padj
10019 603.656453038088 -0.827118268899981 0.24181480758872 0.000174216542289805 0.000683973805757055
100190986 512.861321292807 -1.01264569898961 0.219941867950093 9.7014285642538e-07 5.65916666248138e-06
100192378 29.2040517999956 -0.832723195485578 0.365687402048088 0.006998272775162 0.0192135610986335
10020 1387.02837100761 -1.12256147459743 0.122851341118089 1.46998133140446e-20 4.7406338390515e-19
10021 42.1274661243369 0.84059039820066 0.327333451708778 0.00328243801448067 0.00976016967137616
100216479 45.5910491494205 -0.736826706026736 0.377104081275146 0.0178127209848763 0.043679536769463
100216545 209.513537696258 1.14972030037964 0.227716844734785 8.53923321163502e-08 5.92398284743847e-07
10023 22.8925023677624 -1.69809130126094 0.418233182547228 5.56920029796632e-06 2.86781808447001e-05
10026 148.364060202866 -0.870166707859505 0.179041376341382 4.01466814101951e-07 2.47888850606289e-06
100268168 27.0353560485689 1.12193311966424 0.378483670614671 0.000596775527223115 0.00208690279771344
100270804 16.4998989410384 -1.61265995370083 0.601468322331395 0.000729648482030771 0.00251154664596519
100271873 23.659566105804 1.14803897220869 0.563013838630403 0.00516553587289514 0.0146527653296139
100271927 544.696216840423 0.747614899522063 0.19048925280917 3.58786647179624e-05 0.000161887618781137
100272147 309.368873017756 1.33367582799461 0.20553784531179 1.20992182523289e-11 1.44416956759592e-10
100272216 162.336282735688 0.835538603094055 0.219309945750294 4.94431037957323e-05 0.000216548549320435
100272228 104.607933948 0.67394470430972 0.239396254189419 0.00214687083768678 0.00665348441010999
100286844 25.1236446403153 -1.99423697773285 0.430558131324236 3.53372117907587e-07 2.20283917656678e-06
100286922 4.63885379204052 1.24250980120041 1.46696974527833 0.016462756313202 0.0407126063878991
100286979 237.986610141298 -1.03004137984471 0.193122784529831 2.51179735329099e-08 1.88244738447384e-07
100287036 10.48833076075 0.89759418116742 0.525457986178445 0.0207875959930797 0.0499427021696759
100287042 17.2015718420799 -0.918976167827494 0.461912281854131 0.0114382245097175 0.0295406874347814
100287072 137.898801279112 -1.10306544075629 0.252956944463481 2.46498717552428e-06 1.3522215362876e-05
100287205 38.0201474820444 0.697549493078619 0.356593941216169 0.019754397321008 0.0477516366896309
100287216 120.780852277863 2.09433935979666 0.296830173559697 1.04623678019306e-13 1.61997953062151e-12
100287227 15.0829799817101 0.923406810816197 0.524947598426146 0.0175811929083606 0.0431713579820401
100287428 146.117676004913 -0.765052683254527 0.196793431253388 4.10457699404044e-05 0.000182909531829919
100287466 94.7107865715147 -0.868226560300676 0.247113447079428 0.000143849162327143 0.000574712467799287
100287482 26.1226030829717 -0.818997686994809 0.368692634187142 0.00812791387857845 0.0219062491700724
100287616 86.1527655440689 0.853512824395073 0.225920026350442 5.43638092066181e-05 0.000236201377932203
100287932 1006.84880836505 -0.871447992224038 0.231435168509213 4.51061071095947e-05 0.000199145079001136
100288123 22.0698277776565 1.60079977316941 0.48796547294174 0.000112334153619245 0.000457598815308948
100288142 93.3335467189277 -1.62165767210536 0.259010284782231 4.77607835520975e-11 5.28164694940347e-10
100288181 606.04252920623 2.17695779450381 1.16725022496334 0.000528892666489488 0.00187028173240275
100288485 1792.16949981132 3.27391193110252 0.882203324041528 2.76062131262383e-07 1.75565065181377e-06
100288615 270.604350406863 0.900413341594642 0.298701250643601 0.000691734365987205 0.00239282169154119
100288637 146.581507009144 -1.30981241910691 0.203802574766263 2.1802494130776e-11 2.51907159006859e-10
100288842 52.8999328825648 -2.99854146105645 0.354238688165281 2.27320917354095e-18 5.83794865459688e-17
100289341 19.9727536219818 -1.03377476415066 0.498882027158573 0.00637822770943827 0.0176919469760973
100289511 64.9999549657608 3.1926902540708 0.380031468312168 2.47562247806417e-18 6.34161996922155e-17
100289635 224.07454404434 -1.63755346839643 0.168507488303742 3.3874953217962e-23 1.45922875400452e-21
100289656 57.4239331764996 -1.84726278479082 0.304353293839672 1.46460064384357e-10 1.51494863929637e-09
100289678 64.9721423327632 -0.862539298038152 0.342866470867078 0.00289403704256865 0.00871062806482292
100293516 109.92047484264 -1.86682746231988 0.213897639177858 3.09853566079799e-19 8.71220068642781e-18
100294145 100.253486968358 -0.602148070320176 0.24693226952998 0.00733264491489466 0.0200062419115274
100294362 24.7093169500166 1.02980034884428 0.465012129970737 0.00553410462270012 0.0155798839817951
1003 26.7602527342028 0.726337874561071 0.347404814184194 0.0140906953581112 0.035521873004817
100302142 7477.3542322522 1.14491340919506 0.262002049420338 2.63535649218282e-06 1.43746717755426e-05
100302169 48.1679662913597 0.95291160794287 0.407110908828739 0.00395589211330497 0.0115263455707802
100302185 9.87692997713438 1.86964684846619 0.941403998818157 0.00212089186946526 0.00658511937292772
100302239 4.56632708172432 -1.31690987013685 1.03030016164014 0.0175023486798761 0.0429882248277659
100302246 72.3596216297092 0.763791488329163 0.309735040420376 0.00503171863452957 0.0143235594001858
