"entrez","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"55765",133.45954941286882,-3.2197246239590833,0.6435282262519461,-5.003237608879237,5.637538288065764e-7,4.42946334598141e-6,"INAVA"
"375190",82.9307376173547,-2.2042840593049675,0.44065289437566113,-5.002313810801371,5.664628188739188e-7,4.449034315198815e-6,"FAM228B"
"112399",808.5694723297933,3.2521336539842807,0.6501749749862107,5.001936061985859,5.67574158985695e-7,4.456047005708708e-6,"EGLN3"
"22876",1721.319173286013,-1.4851789165251612,0.29698675490735843,-5.000825430711364,5.708538339590122e-7,4.4800714318052995e-6,"INPP5F"
"9019",2171.7652097218916,-1.181561707723594,0.2362798713369319,-5.000687113286527,5.712635600240168e-7,4.481562628388411e-6,"MPZL1"
"1002",266.8471837990843,-1.8259586572448379,0.3652902199596318,-4.998651914213921,5.773251331728236e-7,4.527168475650154e-6,"CDH4"
"84752",102.29260885849246,-3.467529418604657,0.693701986069527,-4.9985865519161425,5.775208302025642e-7,4.527168475650154e-6,"B3GNT9"
"54978",518.0007517486467,-1.373179493476278,0.27476222725271443,-4.997701129468887,5.801781251178936e-7,4.546251716492384e-6,"SLC35F6"
"254122",41.102316823499486,1.7868653922535902,0.3578320585077591,4.99358665544173,5.926817445985502e-7,4.642446061665372e-6,"SNX32"
"285600",134.09345659619657,-1.8265731639538243,0.3659106357084356,-4.9918558951352034,5.980186721416129e-7,4.6824517680124675e-6,"KIAA0825"
"84851",232.8942152246227,1.4167983665844095,0.2839448542432573,4.989695518026995,6.047453781274789e-7,4.733304481069143e-6,"TRIM52"
"10938",739.1980151776913,-1.673099627592777,0.3353622202013042,-4.98893294118963,6.071371621444591e-7,4.750202031553714e-6,"EHD1"
"9442",778.2785056745015,0.8316998909481848,0.16683351822229103,4.985208606822147,6.189499621691154e-7,4.840767783114819e-6,"MED27"
"91875",553.7132359136415,0.793704060411151,0.1592593169789191,4.983721363794449,6.237288120031668e-7,4.876273123199921e-6,"TTC5"
"81691",177.38163704083857,1.580729402008752,0.3172079393368879,4.983259263034877,6.252208742899342e-7,4.886065200341681e-6,"REXO5"
"84750",542.9310538859605,0.9342009265944772,0.18761481581695888,4.979355828198046,6.379625577931416e-7,4.983731249064233e-6,"FUT10"
"3459",303.57180448933144,-0.9768843140657052,0.196213874394621,-4.978670937922652,6.402238488188531e-7,4.999481563689949e-6,"IFNGR1"
"728378",8860.888558320436,-1.088609031597777,0.21866845266060894,-4.978354300093694,6.412718961018228e-7,5.005749278526169e-6,"POTEF"
"3576",51.523106582285166,-3.2643024095877067,0.6559465124173478,-4.9764765080583055,6.475213075018693e-7,5.05259835849871e-6,"CXCL8"
